id,Section,Title,N,Kimberling Centers,Year,Video1,Video2,sound,Video3
1,Affine Images,Affine images of billiard N-periodics Ia: N=3 quartet,3,"1,3,9",2021,https://youtu.be/EJzqsELkPN4,,T,
2,Affine Images,Affine images of billiard N-periodics Ib: N=3 trio,3,"1,3,6,9",2021,https://youtu.be/HjBZdrR3Azs,https://youtu.be/aWs29dqY34M,,
3,Affine Images,Affine images of billiard N-periodics IIa: N=5 quartet & trio,5,--,2021,https://youtu.be/VQ4fB_s33HE,https://youtu.be/buhDTsjpvRQ,T,
4,Affine Images,Affine images of billiard N-periodics IIb: N=5 role reversal,5,--,2021,https://youtu.be/7KtTtXXJlEI,,T,
5,Anticevian,The Anticevian Polygon I: Basic Phenomena,5,--,2021,https://youtu.be/FKvDfamTy-Y,,T,
6,Anticevian,The Anticevian Polygon II: Cyclical Projectivities,5,--,2021,https://youtu.be/BLHBlOWrtjs,,T,
7,Area Invariants,Amazing Ellipse Pedal and Contrapedal Curves: area invariance for all pedal points on a circle!,n/a,--,2020,https://youtu.be/UUnvj7VIYso,,T,
8,Area Invariants,Regular Polygons: the Signed Area of the Antipedal Polygon Vanishes along a Circle?,"3,4,5,6,7,8",--,2020,https://youtu.be/9PZ6_bHz2UE,,T,
9,Area Invariants,Steiner's Krümmungs-Schwerpunkt implies Area-Invariant Interpolated Pedal Curve over Circles,n/a,--,2020,https://youtu.be/gR8Axe823_M,,T,
10,Bicentric Family,Non-Concentric Circular Poncelet Pair: Invariant Sum of Japanese Theorem Inradii (A. Akopyan),"5,6",--,2020,https://youtu.be/BEvdUUolUXI,,T,
11,Bicentric Family,"Bicentric Family I: Properties of Pedals, Polars, & Inversions of N-Periodics in Elliptic Billiard","3,4,5",7,2021,https://youtu.be/jhXDKRFLpVk,,T,
12,Bicentric Family,Bicentric Family II: invariant perimeter limiting point pedals,"3,4,5",7,2021,https://youtu.be/A7F3szW7rUE,,T,
13,Bicentric Family,"Bicentric Family III: Equiperimeter ""Limiting"" Pedal Polygons to the Bicentric Family","3,4,5",--,2021,https://youtu.be/6TmaezNFrOs,,T,
14,Bicentric Family,Bicentric Family IV: Constant-Perimeter Limiting Point Pedals in the N=4 Case,4,--,2021,https://youtu.be/fZe6elRTfeA,,,
15,Bicentric Family,"Circular locus of the covertices of an ellipse ""mounted"" to bicentric triangles",3,"1,3",2021,https://youtu.be/wvNUdJbyHZA,,,
16,Bicentric Family,Peripheral triangles: circular locus of incenters and invariant sum of inradii,"4,5",--,2021,https://youtu.be/HnqqaqDf2mo,,T,
17,Bicentric Family,"Peripheral triangles: Constant Inradius Sum, Japanese-Style Triangles, Incenter Circular Loci","4,5,6,7",--,2021,https://youtu.be/TGwlfBUtKrs,,T,
18,Bicentric Family,The Jacobi-Poncelet Bicentric family: 3 derived constant perimeter families,5,--,2021,https://youtu.be/8m21fCz8eX4,,T,
19,Bicentric Family,Zero-Area N=4 Bicentric Pedals,4,--,2021,https://youtu.be/hwx1i-W6yLQ,,T,
